Term,Section,Acronym,Definition EN,Definition FR,Tooltip EN,Tooltip FR,,
Climate Adaptation and Mitigation Initiative,Core Atlas Framework,AIM,A CGIAR initiative that supports coordinated research and investment to help countries adapt agriculture to climate change while reducing emissions,Une initiative du CGIAR qui soutient la recherche et les investissements coordonnés pour aider les pays à adapter leur agriculture au changement climatique tout en réduisant les émissions,CGIAR initiative linking adaptation and mitigation science,Initiative du CGIAR reliant la science de l’adaptation et de l’atténuation,,
Accelerating Impacts of CGIAR Climate Research for Africa,Core Atlas Framework,AICCRA,A program that scales climate-smart agriculture and climate services across Africa by connecting research outputs with development users,Un programme qui étend l’agriculture climato-intelligente et les services climatiques à travers l’Afrique en reliant les résultats de la recherche aux utilisateurs du développement,Program linking CGIAR climate research to African action,Programme reliant la recherche climatique du CGIAR à l’action en Afrique,,
"Climate Change, Agriculture and Food Security",Core Atlas Framework,CCAFS,A former CGIAR research program that pioneered integration of climate information into agricultural planning,Un ancien programme de recherche du CGIAR qui a été pionnier dans l’intégration des informations climatiques à la planification agricole,Legacy CGIAR program on climate and agriculture,Ancien programme du CGIAR sur le climat et l’agriculture,,
Atlas Framework,Core Atlas Framework,,"The overall structure of datasets, notebooks, and tools that make up the Adaptation Atlas, defining how data is stored, analyzed, and visualized","La structure générale des jeux de données, notebooks et outils qui composent l’Adaptation Atlas, définissant comment les données sont stockées, analysées et visualisées",The backbone linking all Atlas data and tools,L’infrastructure centrale reliant toutes les données et outils de l’Atlas,,
Adaptation Pathways,Core Atlas Framework,,Sequences of actions and investments that help countries or communities move from current conditions toward greater climate resilience,Des séquences d’actions et d’investissements qui aident les pays ou les communautés à passer des conditions actuelles à une plus grande résilience climatique,Steps that guide progress toward resilience,Les étapes guidant le progrès vers la résilience,,
Climate-Smart Agriculture,Core Atlas Framework,CSA,"An approach to farming that increases productivity, strengthens resilience, and reduces emissions under changing climates","Une approche agricole qui augmente la productivité, renforce la résilience et réduit les émissions dans un climat en évolution","Farming for productivity, resilience, and lower emissions","Agriculture visant la productivité, la résilience et la réduction des émissions",,
Adaptation Planning,Core Atlas Framework,,The process of identifying and prioritizing actions to manage and prepare for climate risks within national or local strategies,Le processus d’identification et de hiérarchisation des actions permettant de gérer et de se préparer aux risques climatiques dans les stratégies nationales ou locales,Planning how to respond to climate risks,Planification de la réponse aux risques climatiques,,
Adaptation Strategies,Core Atlas Framework,,Specific approaches or actions taken to reduce climate vulnerability and build adaptive capacities,Des approches ou actions spécifiques mises en œuvre pour réduire la vulnérabilité climatique et renforcer les capacités d’adaptation,Actions that reduce vulnerability to climate change,Actions réduisant la vulnérabilité au changement climatique,,
Adaptation Investments,Core Atlas Framework,,"Financial or policy commitments made to support adaptation solutions, e.g. in agriculture and food systems","Des engagements financiers ou politiques visant à soutenir des solutions d’adaptation, par exemple dans les systèmes agricoles et alimentaires",Funding directed toward climate adaptation,Financement destiné à l’adaptation au climat,,
Decision Support Tools,Core Atlas Framework,,"Digital tools that help different audiences, e.g. policy-makers, communities, and investors, in identifying suitable adaptation options, assessing risk, and making data-driven decisions","Des outils numériques qui aident différents publics – décideurs, communautés ou investisseurs – à identifier les options d’adaptation, évaluer les risques et prendre des décisions fondées sur les données",Tools that turn data into actionable insights,Outils transformant les données en informations exploitables,,
Use Cases,Core Atlas Framework,,Real-world examples showing how Atlas data and tools are applied to support decision-making,Des exemples concrets montrant comment les données et outils de l’Atlas sont utilisés pour soutenir la prise de décision,Practical examples of Atlas in action,Exemples concrets de l’Atlas en action,,
Interactive Notebooks,Core Atlas Framework,,"Web-based analytical deep-dives around specific thematic clusters that allow user to explore, visualize, and download Atlas data interactively","Des analyses web interactives centrées sur des thématiques spécifiques permettant d’explorer, de visualiser et de télécharger les données de l’Atlas",Online apps for exploring Atlas data,Applications en ligne pour explorer les données de l’Atlas,,
Open Data Platform,Core Atlas Framework,,"The digital infrastructure the Atlas relies on, providing public access to datasets, code, and documentation","L’infrastructure numérique sur laquelle repose l’Atlas, offrant un accès public aux jeux de données, au code et à la documentation",Shared space where Atlas data are openly available,Espace partagé où les données de l’Atlas sont librement accessibles,,
Spatio-Temporal Asset Catalogue,Core Atlas Framework,STAC,A metadata standard used by the Atlas to organize and access geospatial datasets through APIs (Application Programming Interfaces),Un standard de métadonnées utilisé par l’Atlas pour organiser et accéder aux jeux de données géospatiales via des APIs (Application Programming Interfaces),Open standard for indexing Atlas geodata,Norme ouverte pour l’indexation des géodonnées de l’Atlas,,
Geospatial Data Infrastructure,Core Atlas Framework,,"The cloud and database systems that store, serve, and manage spatial datasets within the Atlas","Les systèmes cloud et bases de données qui stockent, diffusent et gèrent les jeux de données spatiales au sein de l’Atlas",The technical backbone of Atlas maps and data,Infrastructure technique des cartes et données de l’Atlas,,
Knowledge Platform,Core Atlas Framework,,"The collection of Atlas notebooks, resources, and datasets that enable evidence-based climate decisions","L’ensemble des notebooks, ressources et jeux de données de l’Atlas qui permettent de prendre des décisions climatiques fondées sur des preuves","Hub for data, tools, and learning","Centre pour les données, outils et apprentissages",,
Atlas Explorer,Core Atlas Framework,,"The main user interface that lets users view maps, filter data, and compare regions in the Atlas","L’interface principale qui permet aux utilisateurs de visualiser des cartes, filtrer les données et comparer les régions dans l’Atlas",Main Atlas map interface,Interface cartographique principale de l’Atlas,,
Data Notebooks,Core Atlas Framework,,"The interactive Atlas notebooks that focus on specific datasets, analyses, and topics","Les notebooks interactifs de l’Atlas qui se concentrent sur des jeux de données, analyses et thématiques spécifiques",Notebooks exploring key datasets,Notebooks explorant les ensembles de données clés,,
Custom Notebooks,Core Atlas Framework,,Adapted and modified versions of Atlas notebooks tailored to a partner’s data or policy needs,"Des versions adaptées ou modifiées des notebooks de l’Atlas, conçues selon les besoins en données ou en politiques d’un partenaire",Partner-specific Atlas notebooks,Notebooks de l’Atlas spécifiques aux partenaires,,
Analytical Tools,Core Atlas Framework,,"Models and algorithms that generate Atlas indicators such as hazards, exposure, or adaptive capacity","Des modèles et algorithmes qui génèrent les indicateurs de l’Atlas tels que les aléas, l’exposition ou la capacité d’adaptation",Core methods behind Atlas indicators,Méthodes principales derrière les indicateurs de l’Atlas,,
Evidence for Resilient Agriculture,Core Atlas Framework,ERA,A CGIAR database and analytical framework that compiles evidence from thousands of agricultural and livestock experiments to understand which practices build resilience,Une base de données et un cadre analytique du CGIAR qui rassemblent les preuves issues de milliers d’expériences agricoles et d’élevage pour comprendre quelles pratiques renforcent la résilience,Global dataset linking farm practices with outcomes,Jeu de données mondial reliant les pratiques agricoles aux résultats,,
Atlas Instance,Core Atlas Framework,,"A deployed or customized version of the Atlas platform designed for a specific region, country, or partner use case","Une version déployée ou personnalisée de la plateforme Atlas conçue pour une région, un pays ou un cas d’usage spécifique",A country- or partner-specific version of the Atlas,Version de l’Atlas spécifique à un pays ou à un partenaire,,
